ID,IR1,IR2,EPR1,IR3,AM1,IM1,IR4,IR5,AM2,IR6,ERE1,IM2,IR7,EPR2,AM3,IM3,EPR3,IR8,AM4,ERE2,ERE3,IM4,IR9,IM5,EPR4,AM5,AM6,IM6,IR10,IR11,AM7,AM8,IM7,IM8
1,1,5,4,2,5,2,2,1,4,4,2,3,2,2,3,3,3,3,3,4,4,3,3,3,4,4,2,3,4,4,4,4,3,4
2,1,1,3,2,6,1,1,1,5,1,4,1,1,2,5,2,5,2,5,4,5,2,1,3,5,5,5,3,2,1,6,6,3,3
3,3,2,1,3,5,4,3,2,4,3,2,3,3,1,5,4,1,3,4,2,2,3,3,3,2,5,5,3,3,3,5,5,3,3
4,1,1,2,2,5,2,2,2,5,3,2,2,2,3,4,3,2,3,3,4,4,3,3,3,4,4,3,3,4,3,4,4,3,3
6,2,2,1,2,6,2,2,2,5,2,3,2,2,2,6,2,3,2,5,3,5,2,2,2,3,5,5,2,2,2,5,5,2,2
7,2,2,1,1,6,1,1,1,2,2,4,2,1,1,3,3,1,3,4,6,4,2,3,2,5,3,4,2,3,3,5,5,3,3
8,2,2,4,2,5,2,2,2,5,2,2,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,2,1,1,6,1,1,1,5,1,2,1,1,1,6,2,2,1,6,2,5,1,1,1,4,6,5,1,1,1,5,5,1,1
10,3,4,1,4,4,2,3,3,3,4,4,2,3,1,2,4,1,3,3,5,1,4,4,4,5,4,2,3,4,3,3,4,4,4
11,1,5,6,2,6,2,2,2,6,1,3,1,2,1,6,2,5,2,6,3,5,2,2,2,4,6,2,2,1,1,6,6,2,2
12,1,2,2,2,6,2,2,2,5,1,2,2,2,2,6,2,3,2,6,3,4,2,2,2,5,6,5,2,2,2,6,6,2,2
13,1,2,5,1,6,1,1,1,5,1,1,2,2,3,5,1,6,2,5,3,6,1,1,1,4,6,4,1,1,1,6,6,1,1
